 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Test Fixture Nails     377/377  Selected Drills           01-January-2012 05:54
                        377 Nails,  1318 Nets               Metric units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$184      55.990    80.420   4  D1   (B)  #1055 ACCEL2OSCAR_INT2 T PIN TB_TP147.1
$185      57.010    80.350   3  D1   (B)  #836  GPIO_BB2SOC_GSM_TXBURST T PIN TB_TP230.1
$186      57.620    78.700   2  D1   (B)  #900  SPI3_CODEC_SCLK  T PIN TB_TP119.1
$187      58.380    77.439   3  D1   (B)  #880  SPI3_CODEC_MISO  T PIN TB_TP121.1
$188      59.290    78.295   3  D1   (B)  #901  GPIO_CODEC2SOC_IRQ_L T PIN TB_TP223.1
$189      60.640    78.240   3  D1   (B)  #131  PP_LDO6_RUIM_1V8 T PIN TB_TP104.1
$190      61.405    76.837   2  D1   (B)  #351  PA_NTC_P         T PIN TB_TP110.1
$191      62.980    77.350   3  D1   (B)  #566  GPIO_BTN_SRL_L   T PIN TB_TP256.1
$192      61.940    78.215   3  D1   (B)  #567  GPIO_BTN_ONOFF_L T PIN TB_TP255.1
$193      61.205    80.285   1  D1   (B)  #431  GPIO_SOC2BB_RADIO_ON_L T PIN TB_TP192.1
$194      63.720    80.440   3  D1   (B)  #635  UART_WLAN2BB_LTE_COEX T PIN TB_TP88.1
$195      63.765    79.110   3  D1   (B)  #299  BATT_NTC         T PIN TB_TP313.1
$196      65.630    80.250   2  D1   (B)  #452  GPIO_BB2SOC_RESET_DET_L T PIN TB_TP229.1
$197      67.400    80.410   2  D1   (B)  #372  GPIO_HS4_SHUNT_EN T PIN TB_TP27.1
$198      67.330    85.850   3  D1   (B)  #761  OSCAR2RADIO_CONTEXT_B T PIN TB_TP148.1
$199      65.960    85.840   3  D1   (B)  #86   PP1V8_S2R_SW3    T PIN TB_TP142.1
$200      41.900    79.300   2  D1   (B)  #830  GPIO_SOC2BB_WAKE_MODEM T PIN TB_TP168.1
$200      60.565    86.320   2  D1   (B)  #830  GPIO_SOC2BB_WAKE_MODEM T PIN TB_TP167.1
$201      58.809    86.310   2  D1   (B)  #565  GPIO_BTN_VOL_UP_L T PIN TB_TP254.1
$202      57.360    85.870   3  D1   (B)  #1050 GYRO2OSCAR_INT2  T PIN TB_TP217.1
$203      55.904    86.386   2  D1   (B)  #564  GPIO_BTN_VOL_DOWN_L T PIN TB_TP259.1
$204      53.650    85.810   2  D1   (B)  #364  GPIO_BTN_SRL_L_FILT T PIN TB_TP226.1
$205      51.780    86.270   2  D1   (B)  #87   PP3V0_GYRO       T PIN TB_TP174.1
$206      49.290    86.010   1  D1   (B)  #1057 SPI_OSCAR2GYRO_CS_L T PIN TB_TP206.1
$207      47.015    86.200   3  D1   (B)  #363  GPIO_BTN_VOL_UP_L_FILT T PIN TB_TP224.1
$208      45.795    85.820   3  D1   (B)  #402  SIMCRD_IO_CONN   T PIN TB_TP96.1
$209      44.935    86.775   3  D1   (B)  #398  SIMCRD_RST_CONN  T PIN TB_TP95.1
$210      43.010    86.560   3  D1   (B)  #362  GPIO_BTN_VOL_DOWN_L_FILT T PIN TB_TP225.1
$211      44.065    85.820   3  D1   (B)  #365  GPIO_BTN_ONOFF_L_FILT T PIN TB_TP227.1
$212      43.425    79.250   3  D1   (B)  #142  PP_RF1_1V8_DIG   T PIN TB_TP103.1
$213      46.785    77.130   3  D1   (B)  #241  PP1V8_SW1_FOREHEAD T PIN TB_TP90.1
$214      43.770    75.080   3  D1   (B)  #430  PS_HOLD_PMIC     T PIN TB_TP98.1
$215      42.650    75.190   4  D1   (B)  #442  BB_JTAG_TMS      T PIN TB_TP163.1
$216      41.420    75.870   3  D1   (B)  #436  USB_BB_DEBUG_N   T PIN TB_TP70.1
$217      41.460    74.870   4  D1   (B)  #438  USB_BB_DEBUG_P   T PIN TB_TP69.1
$218      43.030    74.230   4  D1   (B)  #440  DEBUG_RST_L      T PIN TB_TP108.1
$219      43.220    72.080   2  D1   (B)  #1094 TP_BB_TEST_MODE_1 T PIN TB_TP71.1
$220      40.310    70.650   1  D1   (B)  #1088 TP_BB_TEST_MODE_0 T PIN TB_TP72.1
$221      36.380    70.760   1  D1   (B)  #143  PP_SMPS2_RF1_1V3 T PIN TB_TP101.1
$222      39.380    74.300   3  D1   (B)  #447  BB_JTAG_TDI      T PIN TB_TP165.1
$223      40.630    74.240   3  D1   (B)  #443  BB_JTAG_TRST_L   T PIN TB_TP162.1
$224      40.060    75.070   4  D1   (B)  #444  BB_JTAG_TCK      T PIN TB_TP166.1
$225      39.024    75.241   4  D1   (B)  #445  BB_JTAG_TDO      T PIN TB_TP164.1
$226      37.875    75.796   2  D1   (B)  #448  BB_JTAG_RTCLK    T PIN TB_TP109.1
$227      34.860    79.200   1  D1   (B)  #454  HSIC2_SOC2BB_HOST_RDY T PIN TB_TP127.1
$228      33.620    75.640   4  D1   (B)  #144  PP_SMPS1_MSMC_1V05 T PIN TB_TP102.1
$229      32.560    75.690   3  D1   (B)  #141  PP_SMPS4_RF2_2V05 T PIN TB_TP100.1
$230      22.560    69.720   3  E2   (B)  #2    GND              T PIN TB_TP332.1
$230      59.100    74.800   1  D1   (B)  #2    GND              T PIN TB_TP341.1
$230      23.090    80.040   1  E1   (B)  #2    GND              T PIN TB_TP358.1
$230     148.840    76.670   3  A1   (B)  #2    GND              T PIN TB_TP342.1
$230      92.500    85.830   2  C1   (B)  #2    GND              T PIN TB_TP360.1
$230       6.520    78.860   4  E1   (B)  #2    GND              T PIN TB_TP343.1
$230     162.480    71.920   1  A1   (B)  #2    GND              T PIN TB_TP328.1
$230     149.220    79.090   3  A1   (B)  #2    GND              T PIN TB_TP344.1
$230      25.280    68.550   3  E2   (B)  #2    GND              T PIN TB_TP330.1
$230     149.270    77.730   4  A1   (B)  #2    GND              T PIN TB_TP345.1
$230      23.530    69.370   4  E2   (B)  #2    GND              T PIN TB_TP333.1
$230       6.530    79.885   3  E1   (B)  #2    GND              T PIN TB_TP357.1
$230     152.730    78.500   3  A1   (B)  #2    GND              T PIN TB_TP346.1
$230      25.580    69.770   3  E2   (B)  #2    GND              T PIN TB_TP335.1
$230      46.490    80.170   1  D1   (B)  #2    GND              T PIN TB_TP347.1
$230       6.540    71.660   1  E1   (B)  #2    GND              T PIN TB_TP337.1
$230     146.840    79.520   4  A1   (B)  #2    GND              T PIN TB_TP348.1
$230      10.870    73.090   1  E1   (B)  #2    GND              T PIN TB_TP339.1
$230     149.700    80.335   3  A1   (B)  #2    GND              T PIN TB_TP349.1
$230      26.910    73.940   1  E1   (B)  #2    GND              T PIN TB_TP340.1
$230      43.720    69.720   2  D2   (B)  #2    GND              T PIN TB_TP350.1
$230      38.000    68.630   1  D2   (B)  #2    GND              T PIN TB_TP331.1
$230      22.690    71.840   3  E1   (B)  #2    GND              T PIN TB_TP351.1
$230     140.740    70.030   3  A2   (B)  #2    GND              T PIN TB_TP336.1
$230      43.720    71.020   4  D1   (B)  #2    GND              T PIN TB_TP352.1
$230      90.830    85.820   3  C1   (B)  #2    GND              T PIN TB_TP359.1
$230      98.360    70.780   4  C1   (B)  #2    GND              T PIN TB_TP353.1
$230      24.580    69.710   4  E2   (B)  #2    GND              T PIN TB_TP334.1
$230      97.390    71.320   3  C1   (B)  #2    GND              T PIN TB_TP354.1
$230      24.265    68.535   4  E2   (B)  #2    GND              T PIN TB_TP329.1
$230     103.645    72.570   2  B1   (B)  #2    GND              T PIN TB_TP355.1
$230      23.360    71.040   4  E1   (B)  #2    GND              T PIN TB_TP338.1
$230     154.730    77.320   4  A1   (B)  #2    GND              T PIN TB_TP356.1
$231       2.800    80.200   3  E1   (B)  #110  PP2V9_AVDD_CAM_REAR_FILT T PIN TB_TP131.1
