 820-3399-a        Tebo-ICT,  license #YunTaiLi

 Board Outline Contour             Metric units               01-January-2012 05:54

 User Datum  X  0.000,  Y  0.000,  Rotation   0.0

      X           Y         Radius

   -3.523      47.679       0.000
   -3.517      47.702       0.000
   -3.510      47.725       0.000
   -3.503      47.748       0.000
   -3.495      47.771       0.000
   -3.488      47.793       0.000
   -3.480      47.816       0.000
   -3.472      47.839       0.000
   -3.463      47.861       0.000
   -3.454      47.884       0.000
   -3.445      47.906       0.000
   -3.436      47.928       0.000
   -3.426      47.950       0.000
   -3.417      47.972       0.000
   -3.407      47.994       0.000
   -3.396      48.016       0.000
   -3.386      48.037       0.000
   -3.375      48.059       0.000
   -3.363      48.080       0.000
   -3.352      48.101       0.000
   -3.341      48.122       0.000
   -3.329      48.143       0.000
   -3.316      48.164       0.000
   -3.304      48.184       0.000
   -3.292      48.205       0.000
   -3.279      48.225       0.000
   -3.265      48.245       0.000
   -3.252      48.265       0.000
   -3.239      48.285       0.000
   -3.225      48.304       0.000
   -3.211      48.324       0.000
   -3.196      48.343       0.000
   -3.182      48.362       0.000
   -3.167      48.381       0.000
   -3.152      48.400       0.000
   -3.137      48.419       0.000
   -3.121      48.437       0.000
   -3.106      48.455       0.000
   -3.090      48.473       0.000
   -3.074      48.491       0.000
   -3.057      48.509       0.000
   -3.041      48.526       0.000
   -3.024      48.543       0.000
   -3.007      48.561       0.000
   -3.003      48.565       0.000
   -2.984      48.584       0.000
   -2.966      48.602       0.000
   -2.949      48.620       0.000
   -2.931      48.639       0.000
   -2.914      48.659       0.000
   -2.898      48.678       0.000
   -2.881      48.698       0.000
   -2.865      48.718       0.000
   -2.849      48.738       0.000
   -2.834      48.758       0.000
   -2.819      48.779       0.000
   -2.804      48.800       0.000
   -2.790      48.821       0.000
   -2.776      48.843       0.000
   -2.762      48.865       0.000
   -2.749      48.886       0.000
   -2.736      48.908       0.000
   -2.723      48.931       0.000
   -2.710      48.953       0.000
   -2.698      48.976       0.000
   -2.687      48.999       0.000
   -2.676      49.022       0.000
   -2.665      49.045       0.000
   -2.654      49.068       0.000
   -2.644      49.092       0.000
   -2.635      49.116       0.000
   -2.625      49.140       0.000
   -2.616      49.164       0.000
   -2.608      49.188       0.000
   -2.600      49.212       0.000
   -2.592      49.237       0.000
   -2.584      49.261       0.000
   -2.578      49.286       0.000
   -2.571      49.311       0.000
   -2.565      49.335       0.000
   -2.559      49.360       0.000
