 Gerber_20200211(820-01839-a_v7)        Tebo-ICT,  license #XunKeDa
R3451         46.675     4.753  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3460         48.378     1.859   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3501         38.473     1.901   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3503         43.375     4.741  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3551         40.044     4.744  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3560         41.758     1.843   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3621        139.215   -19.451    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3624        140.677   -18.058  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R3625        140.710   -19.055  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R3631        142.684   -20.843    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3632        143.378   -19.918   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3633        141.157   -21.020  270.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3684        144.330   -16.905  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3790        199.497    -7.500   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3802        145.900   -15.104  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R3803        139.667   -22.820    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3804        143.792   -22.280  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3805        143.785   -23.414  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3806        143.783   -22.855  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3807        149.949   -22.211  270.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3808        149.579   -22.211  270.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3809        149.209   -22.211   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3810        148.839   -22.211   90.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3811        147.376   -22.151   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3813        151.709   -19.980  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3814        151.696   -19.568  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3815        151.719   -20.362  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3816        151.693   -19.188  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3817        143.960   -18.456    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3818        143.967   -18.068    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3823        148.469   -22.211   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3824        148.460   -15.380  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3825        143.790   -21.898    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3827        144.745   -21.379    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3830        148.252   -23.248    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3831        147.918   -22.407  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3832        148.247   -22.854    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3833        147.006   -14.640    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3834        143.799   -21.523  180.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3850        144.675   -18.450    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3851        144.666   -18.049    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3870        150.319   -22.211   90.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
R3880        148.450   -15.002    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R3881        148.441   -14.624    0.0  AA   (T)  'RES-01005-P42XP22-HP15', 'RES-01005-P42XP22-HP15'
R38A0        208.430    -9.740  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R38A1        208.910    -9.740  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R38A2        207.380    -9.740  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R38A3        206.900    -9.740  270.0  AA   (T)  'RES-0201-HP26', 'RES-0201-HP26'
R3970        144.949   -23.460    0.0  AA   (T)  'RES-01005-HP15', 'RES-01005-HP15'
